chrom	win_Mb	n	obs	exp	excess
1	0	6859	0.23822714681440443	0.1953463628537685	0.04288078396063594
1	10	9480	0.28512658227848103	0.17555224900472957	0.10957433327375146
1	20	6135	0.21597392013039934	0.19504055910595436	0.020933361024444985
1	30	6161	0.21051777308878428	0.19759977013832666	0.012918002950457613
1	40	6444	0.2116697703289882	0.19963312869943556	0.012036641629552647
1	50	6151	0.19931718419769143	0.19931809288555677	-9.086878653419284e-07
1	60	7938	0.1996724615772235	0.20229544421008877	-0.002622982632865284
1	70	6532	0.19396815676668708	0.20171952281236688	-0.007751366045679803
1	80	6769	0.218643817402866	0.20131890988771736	0.017324907515148646
1	90	7473	0.20018734109460726	0.19969717103488618	0.0004901700597210734
1	100	7377	0.20984139894265963	0.20283901163943102	0.007002387303228608
1	110	6676	0.20641102456560814	0.20204020751221094	0.004370817053397202
1	120	1875	0.6906666666666667	0.17241961503258693	0.5182470516340797
1	140	3292	0.3578371810449575	0.20204640452811806	0.15579077651683942
1	150	7449	0.20472546650557122	0.19996447470775142	0.004760991797819802
1	160	9655	0.21450025893319524	0.19750801416020625	0.016992244772988996
1	170	6563	0.19914673167758648	0.1990195112041749	0.00012722047341157117
1	180	7361	0.210433365031925	0.20140081604834226	0.009032548983582744
1	190	7461	0.20989143546441497	0.20576795718920832	0.004123478275206649
1	200	7793	0.19786988322853843	0.19525681530327085	0.0026130679252675815
1	210	8442	0.19912343046671405	0.19581140200937996	0.003312028457334082
1	220	7568	0.20560253699788583	0.19930736638352767	0.006295170614358164
1	230	8500	0.2096470588235294	0.195717898527911	0.013929160295618415
1	240	9142	0.21406694377597899	0.1966807298468839	0.01738621392909509
2	0	8807	0.20199841035539912	0.20017207199185505	0.0018263383635440666
2	10	8763	0.20757731370535204	0.19996225626303152	0.007615057442320522
2	20	6143	0.19811167182158554	0.1975588129712068	0.0005528588503787291
2	30	7902	0.20159453302961275	0.19852752847900493	0.0030670045506078214
2	40	8978	0.2028291378926264	0.19706437075709649	0.005764767135529925
2	50	9620	0.1995841995841996	0.20054324133065032	-0.0009590417464507284
2	60	6948	0.19573978123200922	0.1968819613316615	-0.001142180099652279
2	70	7572	0.21209720021130482	0.20133374014170913	0.010763460069595693
2	80	7225	0.3033910034602076	0.19442898551657245	0.10896201794363514
2	90	4973	0.5658556203498895	0.15933160558992085	0.4065240147599686
2	100	6988	0.20663995420721237	0.1970343529150312	0.00960560129218116
2	110	6349	0.23893526539612536	0.1971265955381645	0.04180866985796086
2	120	8308	0.20486278285989407	0.19616515284186584	0.00869763001802823
2	130	8538	0.27535722651674865	0.19885491488181534	0.07650231163493332
2	140	6098	0.2118727451623483	0.20142406115146833	0.010448684010879977
2	150	7818	0.2075978511128166	0.20193221605599973	0.005665635056816859
2	160	6762	0.20910973084886128	0.20333673535152127	0.0057729954973400055
2	170	7240	0.2005524861878453	0.20052708609467715	2.540009316814862e-05
2	180	6652	0.19993986770895972	0.20488943071993604	-0.004949563010976321
2	190	7045	0.20723917672107878	0.20500674497112958	0.002232431749949193
2	200	5348	0.2081151832460733	0.1993742873187021	0.008740895927371206
2	210	7115	0.20084328882642305	0.19935958219830863	0.0014837066281144229
2	220	8226	0.20034038414782399	0.19826744614983807	0.002072937997985913
2	230	10801	0.20877696509582447	0.19631959756244005	0.012457367533384417
2	240	2698	0.20459599703484063	0.20051978074141194	0.004076216293428692
3	0	11757	0.21127838734371013	0.19920082194492217	0.01207756539878796
3	10	7049	0.21435664633281318	0.19915442293889052	0.01520222339392266
3	20	10131	0.20422465699338663	0.19912888223277359	0.005095774760613042
3	30	6556	0.21079926784624772	0.1998337399313566	0.01096552791489111
3	40	5210	0.19961612284069097	0.19745055745058535	0.0021655653901056227
3	50	5435	0.19429622815087397	0.1980631541136834	-0.00376692596280942
3	60	10020	0.19750499001996008	0.19927392612727118	-0.0017689361073111032
3	70	9805	0.3066802651708312	0.18303114603921017	0.12364911913162102
3	80	8067	0.20205776620800794	0.20274068784469196	-0.0006829216366840141
3	90	7029	0.22535211267605634	0.20574305775623764	0.019609054919818708
3	100	5670	0.2019400352733686	0.1987249516676962	0.0032150836056724086
3	110	7153	0.200195722074654	0.19916687951962211	0.0010288425550318836
3	120	7385	0.22830060934326338	0.19801392151680855	0.030286687826454828
3	130	6996	0.21112064036592337	0.19979095139999664	0.011329688965926732
3	140	7318	0.2007379065318393	0.20135866393408616	-0.0006207574022468743
3	150	5375	0.20967441860465116	0.20379446621710998	0.005879952387541187
3	160	9827	0.19975577490587157	0.20292852571679318	-0.0031727508109216096
3	170	7925	0.20858044164037856	0.20092395029828708	0.0076564913420914815
3	180	6999	0.20002857551078726	0.1934984664106417	0.006530109100145565
3	190	8935	0.22070509233351987	0.1945311151505199	0.026173977182999963
4	0	9784	0.21565821749795586	0.19657685931292887	0.019081358185026986
4	10	8257	0.20758144604577933	0.20300490614944677	0.004576539896332554
4	20	9461	0.19469400697600678	0.1952570023868138	-0.0005629954108070101
4	30	10366	0.2010418676442215	0.1998771288961936	0.0011647387480278881
4	40	8719	0.32010551668769355	0.18419970268785765	0.1359058139998359
4	50	7397	0.20129782344193592	0.197343036255414	0.003954787186521924
4	60	8358	0.22122517348648002	0.20319544043496807	0.018029733051511954
4	70	5760	0.21319444444444444	0.20285063775756487	0.010343806686879564
4	80	7408	0.20950323974082075	0.20273903957787145	0.006764200162949291
4	90	7105	0.1984517945109078	0.20341648278966026	-0.0049646882787524604
4	100	7768	0.20854788877445932	0.20167498196978706	0.0068729068046722575
4	110	7614	0.2047543997898608	0.2054546181618837	-0.0007002183720229149
4	120	6311	0.19679923942322927	0.20301973861703065	-0.006220499193801382
4	130	9725	0.21326478149100256	0.20299151147710937	0.010273270013893193
4	140	7036	0.21446844798180784	0.20729735620684053	0.007171091774967303
4	150	7686	0.2062190996617226	0.20170344825507147	0.004515651406651139
4	160	8471	0.19985834021957266	0.20326231467616424	-0.003403974456591574
4	170	8133	0.20545924013279232	0.20251929820688264	0.0029399419259096837
4	180	11019	0.21853162718940014	0.1977130278567862	0.02081859933261393
5	0	10939	0.2177529938751257	0.19943576363079946	0.018317230244326244
5	10	8675	0.2080691642651297	0.20144648162506054	0.006622682640069155
5	20	7716	0.2025660964230171	0.1991555468900987	0.003410549532918389
5	30	6592	0.21162014563106796	0.19966567026843374	0.01195447536263422
5	40	4759	0.23870561042235763	0.19798442568245578	0.040721184739901856
5	50	7939	0.20405592643909812	0.20051821775140163	0.0035377086876964836
5	60	5609	0.20288821536815832	0.20045576652736144	0.0024324488407968803
5	70	6498	0.21191135734072022	0.1996630321485631	0.012248325192157128
5	80	7332	0.21781232951445717	0.20148880277284917	0.016323526741608002
5	90	7693	0.22487976082152605	0.20654951241674574	0.018330248404780314
5	100	7679	0.2126578981638234	0.2036615860683316	0.008996312095491815
5	110	9526	0.19892924627335712	0.20324362844626462	-0.004314382172907499
5	120	8371	0.20642695018516305	0.20145182636058145	0.004975123824581595
5	130	6183	0.21219472747857027	0.20199274499403372	0.010201982484536548
5	140	7424	0.20554956896551724	0.19897914194290825	0.006570427022608988
5	150	6879	0.19188835586567815	0.1971162741183211	-0.00522791825264296
5	160	7687	0.19578509171328218	0.19651982676499138	-0.0007347350517092066
5	170	9136	0.2062171628721541	0.19334293910333641	0.012874223768817694
6	0	9829	0.21731610540238072	0.1925038246862557	0.024812280716125013
6	10	7285	0.2068634179821551	0.19551415450631215	0.011349263475842947
6	20	9471	0.21148769929257735	0.199552244532329	0.011935454760248349
6	30	17623	0.3321227940759235	0.19625391890540872	0.13586887517051477
6	40	6970	0.2103299856527977	0.20060135427734538	0.009728631375452323
6	50	7034	0.21324992891669037	0.2025622265770972	0.01068770233959318
6	60	8343	0.20388349514563106	0.20639494304642228	-0.0025114479007912194
6	70	9554	0.2099644128113879	0.20314617889164957	0.00681823391973832
6	80	6952	0.19907940161104717	0.20254814149965858	-0.003468739888611405
6	90	6506	0.20135259760221333	0.20412062883338644	-0.0027680312311731126
6	100	7602	0.21375953696395686	0.20377803602037864	0.00998150094357822
6	110	6685	0.19835452505609574	0.20064834817176128	-0.002293823115665533
6	120	7198	0.2001944984717977	0.20279722451542553	-0.0026027260436278232
6	130	7466	0.2069381194749531	0.1977926703600011	0.00914544911495202
6	140	8547	0.2045162045162045	0.20107306040844217	0.003443144107762336
6	150	9109	0.1987045778899989	0.19826549720906736	0.00043908068093154173
6	160	9357	0.2435609703964946	0.19656677408242038	0.04699419631407423
7	0	10157	0.21807620360342622	0.1975843428654709	0.02049186073795531
7	10	9758	0.1986062717770035	0.20246193652391611	-0.0038556647469126237
7	20	8937	0.2019693409421506	0.2001732820074436	0.0017960589347069955
7	30	8946	0.21652135032416722	0.20105479766844195	0.015466552655725274
7	40	8881	0.2039184776489134	0.19755767730981008	0.0063608003391033285
7	50	7082	0.2879130189212087	0.19403650677561268	0.093876512145596
7	60	8882	0.35408691736095477	0.19249808855003875	0.16158882881091602
7	70	6736	0.2425771971496437	0.19637938619545112	0.04619781095419259
7	80	6827	0.2097553830379376	0.2047492847924183	0.005006098245519286
7	90	5070	0.21380670611439842	0.20010692422997262	0.013699781884425805
7	100	8052	0.22888723298559363	0.19527029585067623	0.033616937134917396
7	110	5212	0.18649270913277052	0.2026430024416267	-0.016150293308856173
7	120	6017	0.20176167525344857	0.20147441842724315	0.00028725682620542314
7	130	7010	0.2044222539229672	0.19477279555579252	0.00964945836717468
7	140	9372	0.37889457959880496	0.19432844595022966	0.1845661336485753
7	150	8181	0.264026402640264	0.19927440511539216	0.06475199752487185
8	0	13711	0.22813799139377142	0.19857073849804863	0.02956725289572279
8	10	11205	0.23346720214190095	0.19149325364766487	0.04197394849423608
8	20	7981	0.20197970179175542	0.19473990276173037	0.007239799030025057
8	30	5847	0.20147083974687874	0.19372643962892103	0.0077444001179577115
8	40	6810	0.20411160058737152	0.20228880034225113	0.0018228002451203817
8	50	7039	0.21977553629776958	0.2005986072272767	0.01917692907049287
8	60	6320	0.20506329113924052	0.20067155647251808	0.0043917346667224355
8	70	7524	0.2012227538543328	0.200947869591115	0.0002748842632178117
8	80	7786	0.19894682763935267	0.20431074002660132	-0.005363912387248648
8	90	5703	0.19971944590566368	0.20150762443212142	-0.00178817852645774
8	100	8243	0.20611427878199684	0.20146810034355786	0.00464617843843898
8	110	4783	0.2028015889609032	0.20204861197557067	0.0007529769853325263
8	120	7197	0.19952758093650133	0.19605457399753823	0.0034730069389631024
8	130	9698	0.19736028047020004	0.2002728292127513	-0.0029125487425512575
8	140	3399	0.21535745807590467	0.19932883622379388	0.01602862185211079
9	0	12448	0.21883033419023137	0.20097119477403144	0.01785913941619993
9	10	8828	0.199252378794744	0.19930355790629747	-5.117911155347321e-05
9	20	8596	0.20451372731503026	0.20135688555951117	0.0031568417555190853
9	30	8809	0.28380065841752755	0.19016380726725216	0.0936368511502754
9	40	4973	0.7142569877337623	0.11836100728738952	0.5958959804463728
9	60	5355	0.5882352941176471	0.1459854627831873	0.4422498313344598
9	70	6528	0.2035845588235294	0.19904182717465302	0.004542731648876391
9	80	8357	0.20880698815364365	0.197068534655522	0.011738453498121665
9	90	6968	0.21039035591274396	0.19783346773355126	0.012556888179192705
9	100	9323	0.20701490936393865	0.20191984028343918	0.005095069080499476
9	110	8128	0.19672736220472442	0.19629226756196683	0.00043509464275759413
9	120	7456	0.25040236051502146	0.18180431370061098	0.06859804681441048
9	130	8196	0.23865300146412885	0.19517215971338428	0.04348084175074457
10	0	10476	0.21391752577319587	0.19606737702180796	0.017850148751387906
10	10	10672	0.20183658170914542	0.19680774954119526	0.005028832167950165
10	20	7970	0.26562107904642407	0.19110009667769287	0.0745209823687312
10	30	9453	0.31281074791071617	0.19099535496283054	0.12181539294788563
10	40	8838	0.39171758316361166	0.1833702101801726	0.20834737298343906
