gene	tier	chrom	start	end	ensembl_id
AAAS	B_mitotic_GO	12	53307456.0	53324864.0	ENSG00000094914
ABCD1	D_actionable_pediatric	X	153724495.0	153744755.0	ENSG00000101986
ABRAXAS1	B_mitotic_GO	4	83459517.0	83523348.0	ENSG00000163322
ABRAXAS2	B_mitotic_GO	10	124801785.0	124836670.0	ENSG00000165660
ACADM	D_actionable_pediatric	1	75724431.0	75787575.0	ENSG00000117054
ACADVL	D_actionable_pediatric	17	7217125.0	7225273.0	ENSG00000072778
ACTA2	D_actionable_pediatric	10	88934815.0	88991339.0	ENSG00000107796
ACTB	B_mitotic_GO	7	5526409.0	5563902.0	ENSG00000075624
ACTL6A	B_mitotic_GO	3	179562886.0	179588462.0	ENSG00000136518
ACTL6B	B_mitotic_GO	7	100643097.0	100656458.0	ENSG00000077080
ACVRL1	D_actionable_pediatric	12	51906908.0	51923361.0	ENSG00000139567
AKAP8	B_mitotic_GO	19	15353385.0	15379862.0	ENSG00000105127
AKAP8L	B_mitotic_GO	19	15380046.0	15419141.0	ENSG00000011243
AKNA	B_mitotic_GO	9	114334156.0	114394405.0	ENSG00000106948
ALDH7A1	D_actionable_pediatric	5	126531200.0	126595362.0	ENSG00000164904
ALDOB	D_actionable_pediatric	9	101420560.0	101449664.0	ENSG00000136872
ALK	C_tumour_predisposition,D_actionable_pediatric	2	29190995.0	29921586.0	ENSG00000171094
ALKBH4	B_mitotic_GO	7	102456221.0	102464899.0	ENSG00000160993
ALPL	D_actionable_pediatric	1	21508813.0	21579441.0	ENSG00000162551
AMT	D_actionable_pediatric	3	49416771.0	49422685.0	ENSG00000145020
ANAPC1	B_mitotic_GO	2	111611639.0	111884690.0	ENSG00000153107
ANAPC11	B_mitotic_GO	17	81890669.0	81900991.0	ENSG00000141552
ANAPC15	B_mitotic_GO	11	72106370.0	72113688.0	ENSG00000110200
ANAPC2	B_mitotic_GO	9	137174784.0	137189028.0	ENSG00000176248
ANAPC4	B_mitotic_GO	4	25377210.0	25420310.0	ENSG00000053900
ANAPC5	B_mitotic_GO	12	121308243.0	121399896.0	ENSG00000089053
ANAPC7	B_mitotic_GO	12	110372506.0	110403740.0	ENSG00000196510
ANK3	B_mitotic_GO	10	60026298.0	60733535.0	ENSG00000151150
ANKRD53	B_mitotic_GO	2	70978380.0	70985967.0	ENSG00000144031
ANLN	B_mitotic_GO	7	36389727.0	36453791.0	ENSG00000011426
ANXA11	B_mitotic_GO	10	80150889.0	80205713.0	ENSG00000122359
APC	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	5	112707452.0	112846239.0	ENSG00000134982
APOB	D_actionable_pediatric	2	21001305.0	21044075.0	ENSG00000084674
ARF1	B_mitotic_GO	1	228081841.0	228099212.0	ENSG00000143761
ARG1	D_actionable_pediatric	6	131470832.0	131584332.0	ENSG00000118520
ARHGEF10	B_mitotic_GO	8	1823332.0	1958642.0	ENSG00000104728
ARHGEF2	B_mitotic_GO	1	155944685.0	156007070.0	ENSG00000116584
ARID1A	B_mitotic_GO	1	26693236.0	26782104.0	ENSG00000117713
ARID1B	B_mitotic_GO	6	156776020.0	157211460.0	ENSG00000049618
ARID2	B_mitotic_GO	12	45728910.0	45908040.0	ENSG00000189079
ARL3	B_mitotic_GO	10	102673731.0	102714527.0	ENSG00000138175
ASL	D_actionable_pediatric	7	66075800.0	66094697.0	ENSG00000126522
ASS1	D_actionable_pediatric	9	130443282.0	130502361.0	ENSG00000130707
ATM	B_mitotic_GO,C_tumour_predisposition,D_actionable_pediatric	11	108222788.0	108369102.0	ENSG00000149311
ATP7A	D_actionable_pediatric	X	77910688.0	78050395.0	ENSG00000165240
ATP7B	D_actionable_pediatric	13	51930436.0	52012198.0	ENSG00000123191
AURKB	B_mitotic_GO	17	8204335.0	8210638.0	ENSG00000178999
AURKC	B_mitotic_GO	19	57231002.0	57235552.0	ENSG00000105146
AXIN2	C_tumour_predisposition	17	65528561.0	65562067.0	ENSG00000168646
BAG3	D_actionable_pediatric	10	119650879.0	119677913.0	ENSG00000151929
BAP1	C_tumour_predisposition	3	52398585.0	52410038.0	ENSG00000163930
BARD1	C_tumour_predisposition,D_actionable_pediatric	2	214724705.0	214809726.0	ENSG00000138376
BBS4	B_mitotic_GO	15	72686181.0	72742006.0	ENSG00000140463
BCAR1	B_mitotic_GO	16	75228181.0	75268053.0	ENSG00000050820
BCCIP	B_mitotic_GO	10	125823523.0	125854471.0	ENSG00000107949
BCKDHA	D_actionable_pediatric	19	41397792.0	41425092.0	ENSG00000248098
BCKDHB	D_actionable_pediatric	6	80106626.0	80384773.0	ENSG00000083123
BCL7A	B_mitotic_GO	12	122019422.0	122062044.0	ENSG00000110987
BCL7B	B_mitotic_GO	7	73536355.0	73558017.0	ENSG00000106635
BCL7C	B_mitotic_GO	16	30818695.0	30894302.0	ENSG00000099385
BECN1	B_mitotic_GO	17	42809108.0	42833350.0	ENSG00000126581
BIN3	B_mitotic_GO	8	22610290.0	22669148.0	ENSG00000147439
BIRC5	B_mitotic_GO	17	78214186.0	78225636.0	ENSG00000089685
BMPR1A	C_tumour_predisposition,D_actionable_pediatric	10	86755751.0	86932825.0	ENSG00000107779
BOD1	B_mitotic_GO	5	173603722.0	173616694.0	ENSG00000145919
BRAF	D_actionable_pediatric	7	140719327.0	140925199.0	ENSG00000157764
BRCA1	C_tumour_predisposition,D_actionable_pediatric	17	43044292.0	43170245.0	ENSG00000012048
BRCA2	C_tumour_predisposition,D_actionable_pediatric	13	32315086.0	32400268.0	ENSG00000139618
BRD7	B_mitotic_GO	16	50313487.0	50369059.0	ENSG00000166164
BRIP1	C_tumour_predisposition,D_actionable_pediatric	17	61679139.0	61863561.0	ENSG00000136492
BTD	D_actionable_pediatric	3	15601341.0	15722522.0	ENSG00000169814
BUB1	B_mitotic_GO	2	110635468.0	110678098.0	ENSG00000169679
BUB1B	A_MVA_core,B_mitotic_GO	15	40160984.0	40221137.0	ENSG00000156970
BUB3	B_mitotic_GO	10	123154365.0	123313144.0	ENSG00000154473
C9orf78	B_mitotic_GO	9	129827194.0	129835863.0	ENSG00000136819
CABP2	D_actionable_pediatric	11	67518912.0	67524517.0	ENSG00000167791
CACNA1S	D_actionable_pediatric	1	201039512.0	201112464.0	ENSG00000081248
CALM1	D_actionable_pediatric	14	90396502.0	90408268.0	ENSG00000198668
CALM2	D_actionable_pediatric	2	47160084.0	47176921.0	ENSG00000143933
CALM3	D_actionable_pediatric	19	46601074.0	46610795.0	ENSG00000160014
