chrom	start	gc	Mb	n	dp_med
1	2500000	0.61192	2	1311	44.0
1	7500000	0.52689	7	1130	44.0
1	12500000	0.50413	12	667	45.0
1	17500000	0.52183	17	1782	45.0
1	22500000	0.52035	22	1481	45.0
1	27500000	0.54838	27	683	45.0
1	32500000	0.44468	32	546	45.0
1	37500000	0.44646	37	1256	46.0
1	42500000	0.39096	42	1222	44.0
1	47500000	0.48251	47	1299	43.0
1	52500000	0.41355	52	698	43.0
1	57500000	0.4081	57	1148	45.0
1	62500000	0.3543	62	1191	44.0
1	67500000	0.43877	67	1475	45.0
1	72500000	0.35093	72	1259	43.0
1	77500000	0.40291	77	858	44.0
1	82500000	0.35873	82	1440	44.0
1	87500000	0.39287	87	992	44.0
1	92500000	0.38002	92	1229	44.0
1	97500000	0.35068	97	952	43.0
1	102500000	0.34981	102	1673	42.0
1	107500000	0.40511	107	1101	43.0
1	112500000	0.40992	112	1114	44.0
1	117500000	0.42534	117	1298	43.0
1	122500000	0.39165165165165167	122	349	13.0
1	147500000	0.42029	147	1488	43.0
1	152500000	0.41266	152	990	43.0
1	157500000	0.41749	157	1453	43.0
1	162500000	0.39985	162	1737	44.0
1	167500000	0.43808	167	1300	45.0
1	172500000	0.37429	172	1037	44.0
1	177500000	0.3827	177	1175	44.0
1	182500000	0.4091	182	956	45.0
1	187500000	0.36296	187	1655	44.0
1	192500000	0.37406	192	869	43.0
1	197500000	0.34311	197	969	43.0
1	202500000	0.40743	202	1322	45.0
1	207500000	0.39252	207	1094	44.0
1	212500000	0.42791	212	1430	46.0
1	217500000	0.36582	217	1114	44.0
1	222500000	0.40787	222	1033	43.0
1	227500000	0.42857	227	1737	44.0
1	232500000	0.41097	232	1359	45.0
1	237500000	0.38317	237	1887	44.0
1	242500000	0.40541	242	2293	44.0
2	2500000	0.46618	2	1465	44.0
2	7500000	0.38355	7	1226	44.0
2	12500000	0.39553	12	1564	44.0
2	17500000	0.36922	17	1145	43.0
2	22500000	0.37385	22	934	44.0
2	27500000	0.43886	27	784	45.0
2	32500000	0.36905	32	980	44.0
2	37500000	0.391	37	1260	44.0
2	42500000	0.45495	42	1632	46.0
2	47500000	0.47942	47	1146	45.0
2	52500000	0.36807	52	1759	44.0
2	57500000	0.35574	57	1829	43.0
2	62500000	0.40084	62	736	45.0
2	67500000	0.38959	67	1544	45.0
2	72500000	0.34962	72	656	44.0
2	77500000	0.34946	77	1093	43.0
2	82500000	0.35361	82	1270	44.0
2	87500000	0.44426	87	834	39.0
2	97500000	0.36423	97	966	46.0
2	102500000	0.38854	102	1377	43.0
2	107500000	0.3903	107	1057	45.0
2	112500000	0.42936	112	1191	44.0
2	117500000	0.38776	117	1434	43.0
2	122500000	0.37852	122	1206	45.0
2	127500000	0.46533	127	1194	45.0
2	132500000	0.43325	132	1418	47.0
2	137500000	0.36983	137	2070	42.0
2	142500000	0.36282	142	981	43.0
2	147500000	0.39908	147	769	43.0
2	152500000	0.39651	152	1595	45.0
2	157500000	0.3719	157	698	43.0
2	162500000	0.35578	162	816	44.0
2	167500000	0.36813	167	1028	43.0
2	172500000	0.41197	172	1492	44.0
2	177500000	0.38962	177	1864	44.0
2	182500000	0.36882	182	1436	44.0
2	187500000	0.37189	187	1142	43.0
2	192500000	0.35975	192	1456	43.0
2	197500000	0.41699	197	942	43.0
2	202500000	0.41159	202	855	45.0
2	207500000	0.38833	207	918	45.0
2	212500000	0.35144	212	1105	43.0
2	217500000	0.40649	217	1134	45.0
2	222500000	0.402	222	1381	45.0
2	227500000	0.37802	227	1877	45.0
2	232500000	0.50862	232	1371	45.0
2	237500000	0.5174	237	1543	43.0
3	2500000	0.37504	2	1967	44.0
3	7500000	0.39507	7	1946	45.0
3	12500000	0.44321	12	1233	45.0
3	17500000	0.36088	17	483	43.0
